,technologydetails@EconsightEnergyPatent
211,"[ {'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0028'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0056'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': ''specialisation': '0.0084'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0028'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': ''specialisation': '0.0084'}]"
212,"[ {'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '20','worldClassPatentsInTechnology': ''specialisation': '0.0072'}',{'technologyName': 'Green-Blue Methanol Production','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': ''specialisation': '0.0018'}',{'technologyName': 'Porous Carbon Electrode, Anode','technologyCode': '','totalPatentsInTechnology': '8','worldClassPatentsInTechnology': '1'specialisation': '0.0029'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '43','worldClassPatentsInTechnology': '5'specialisation': '0.0156'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': '1'specialisation': '0.0022'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': '1'specialisation': '0.0014'}',{'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '9','worldClassPatentsInTechnology': '3'specialisation': '0.0033'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '9','worldClassPatentsInTechnology': '1'specialisation': '0.0033'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '25','worldClassPatentsInTechnology': '6'specialisation': '0.009'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '13','worldClassPatentsInTechnology': '1'specialisation': '0.0047'}',{'technologyName': 'Green Hydrogen','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': ''specialisation': '0.0014'}',{'technologyName': 'Green-Blue Ammonia Production','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0004'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': ''specialisation': '0.0014'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '54','worldClassPatentsInTechnology': '9'specialisation': '0.0195'}',{'technologyName': 'Hydrogen Piping, Pipelining, H2 LNG separation','technologyCode': '','totalPatentsInTechnology': '9','worldClassPatentsInTechnology': '1'specialisation': '0.0033'}',{'technologyName': 'Hydrogen Tank','technologyCode': '','totalPatentsInTechnology': '11','worldClassPatentsInTechnology': ''specialisation': '0.004'}',{'technologyName': 'LOHC/MCH Liquid Organic Hydrogen Carrier','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': ''specialisation': '0.0014'}]"
213,
214,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': ''specialisation': '0.0052'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '1'specialisation': '0.0031'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.001'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': '2'specialisation': '0.0021'}',{'technologyName': 'Green Hydrogen','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.001'}',{'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': '2'specialisation': '0.0042'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '10','worldClassPatentsInTechnology': '1'specialisation': '0.0104'}',{'technologyName': 'Porous Carbon Electrode, Anode','technologyCode': '','totalPatentsInTechnology': '16','worldClassPatentsInTechnology': '3'specialisation': '0.0167'}]"
215,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '10','worldClassPatentsInTechnology': '2'specialisation': '0.0098'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.002'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '9','worldClassPatentsInTechnology': '2'specialisation': '0.0088'}]"
216,"[ {'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0008'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '49','worldClassPatentsInTechnology': '7'specialisation': '0.0403'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '42','worldClassPatentsInTechnology': '5'specialisation': '0.0346'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0008'}]"
217,"[ {'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '1'specialisation': '0.0032'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': ''specialisation': '0.0064'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0011'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0011'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0011'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '1'specialisation': '0.0032'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '8','worldClassPatentsInTechnology': '1'specialisation': '0.0085'}]"
218,"[ {'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0015'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0015'}]"
219,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '9','worldClassPatentsInTechnology': '2'specialisation': '0.0117'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '7','worldClassPatentsInTechnology': '1'specialisation': '0.0091'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0013'}]"
220,
221,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '20','worldClassPatentsInTechnology': '3'specialisation': '0.0187'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0009'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0009'}',{'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': '1'specialisation': '0.0056'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': '4'specialisation': '0.0047'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '35','worldClassPatentsInTechnology': '8'specialisation': '0.0327'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0009'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': ''specialisation': '0.0047'}',{'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0009'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0009'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '2'specialisation': '0.0028'}',{'technologyName': 'LOHC/MCH Liquid Organic Hydrogen Carrier','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0009'}',{'technologyName': 'Porous Carbon Electrode, Anode','technologyCode': '','totalPatentsInTechnology': '12','worldClassPatentsInTechnology': '5'specialisation': '0.0112'}]"
222,
223,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0105'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0105'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0211'}]"
224,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0075'}]"
225,"[ {'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0104'}]"
226,
227,"[ {'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0057'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0057'}',{'technologyName': 'Hydrogen Piping, Pipelining, H2 LNG separation','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0057'}]"
228,"[ {'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0005'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0005'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0005'}]"
229,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '44','worldClassPatentsInTechnology': '5'specialisation': '0.0071'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '48','worldClassPatentsInTechnology': '5'specialisation': '0.0077'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '16','worldClassPatentsInTechnology': '2'specialisation': '0.0026'}',{'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '10','worldClassPatentsInTechnology': '1'specialisation': '0.0016'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '12','worldClassPatentsInTechnology': ''specialisation': '0.0019'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '139','worldClassPatentsInTechnology': '29'specialisation': '0.0224'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '74','worldClassPatentsInTechnology': '7'specialisation': '0.0119'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '18','worldClassPatentsInTechnology': '1'specialisation': '0.0029'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '24','worldClassPatentsInTechnology': '2'specialisation': '0.0039'}',{'technologyName': 'Green Hydrogen','technologyCode': '','totalPatentsInTechnology': '49','worldClassPatentsInTechnology': '2'specialisation': '0.0079'}',{'technologyName': 'Green-Blue Ammonia Production','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': ''specialisation': '0.0006'}',{'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '63','worldClassPatentsInTechnology': '8'specialisation': '0.0101'}',{'technologyName': 'Green-Blue Methanol Production','technologyCode': '','totalPatentsInTechnology': '14','worldClassPatentsInTechnology': ''specialisation': '0.0023'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '127','worldClassPatentsInTechnology': '16'specialisation': '0.0204'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '150','worldClassPatentsInTechnology': '22'specialisation': '0.0241'}',{'technologyName': 'Hydrogen Piping, Pipelining, H2 LNG separation','technologyCode': '','totalPatentsInTechnology': '11','worldClassPatentsInTechnology': '2'specialisation': '0.0018'}',{'technologyName': 'Hydrogen Tank','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': ''specialisation': '0.0005'}',{'technologyName': 'LOHC/MCH Liquid Organic Hydrogen Carrier','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0002'}]"
230,"[ {'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '16','worldClassPatentsInTechnology': '2'specialisation': '0.0051'}',{'technologyName': 'Green-Blue Methanol Production','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': ''specialisation': '0.0019'}',{'technologyName': 'LOHC/MCH Liquid Organic Hydrogen Carrier','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0003'}',{'technologyName': 'Porous Carbon Electrode, Anode','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': '3'specialisation': '0.0019'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '23','worldClassPatentsInTechnology': '12'specialisation': '0.0073'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': ''specialisation': '0.0016'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0003'}',{'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': '2'specialisation': '0.0016'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0003'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '18','worldClassPatentsInTechnology': '4'specialisation': '0.0057'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0003'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '7','worldClassPatentsInTechnology': '4'specialisation': '0.0022'}',{'technologyName': 'Green Hydrogen','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0006'}',{'technologyName': 'Green-Blue Ammonia Production','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': '1'specialisation': '0.0006'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '13','worldClassPatentsInTechnology': '1'specialisation': '0.0041'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '60','worldClassPatentsInTechnology': '18'specialisation': '0.0192'}',{'technologyName': 'Hydrogen Piping, Pipelining, H2 LNG separation','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': ''specialisation': '0.0019'}]"
231,"[ {'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0009'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '150','worldClassPatentsInTechnology': '1'specialisation': '0.134'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '76','worldClassPatentsInTechnology': ''specialisation': '0.0679'}',{'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': ''specialisation': '0.0045'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': '1'specialisation': '0.0018'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0009'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': '1'specialisation': '0.0018'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '11','worldClassPatentsInTechnology': ''specialisation': '0.0098'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0009'}',{'technologyName': 'Hydrogen Tank','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0009'}]"
232,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': '1'specialisation': '0.0022'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0011'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0011'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': '3'specialisation': '0.0065'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0011'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': '1'specialisation': '0.0022'}]"
233,"[ {'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '8','worldClassPatentsInTechnology': '1'specialisation': '0.0029'}',{'technologyName': 'Green-Blue Methanol Production','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': '1'specialisation': '0.0007'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '11','worldClassPatentsInTechnology': '1'specialisation': '0.0039'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0004'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0004'}',{'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0004'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0004'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '17','worldClassPatentsInTechnology': '4'specialisation': '0.0061'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0004'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0007'}',{'technologyName': 'Green Hydrogen','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': ''specialisation': '0.0018'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '38','worldClassPatentsInTechnology': '5'specialisation': '0.0136'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '47','worldClassPatentsInTechnology': '6'specialisation': '0.0168'}',{'technologyName': 'Hydrogen Piping, Pipelining, H2 LNG separation','technologyCode': '','totalPatentsInTechnology': '4','worldClassPatentsInTechnology': ''specialisation': '0.0014'}]"
234,"[ {'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0002'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0002'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0002'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '2'specialisation': '0.0005'}]"
235,
236,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '57','worldClassPatentsInTechnology': '16'specialisation': '0.0193'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '40','worldClassPatentsInTechnology': '12'specialisation': '0.0136'}',{'technologyName': 'Double Layer Capacitors in Mobility Applications','technologyCode': '','totalPatentsInTechnology': '21','worldClassPatentsInTechnology': '11'specialisation': '0.0071'}',{'technologyName': 'Double Layer Capacitors in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': ''specialisation': '0.0007'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '5','worldClassPatentsInTechnology': ''specialisation': '0.0017'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '21','worldClassPatentsInTechnology': '1'specialisation': '0.0071'}]"
237,"[ {'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0233'}',{'technologyName': 'Green-Blue Methanol Production','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0233'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '2','worldClassPatentsInTechnology': '1'specialisation': '0.0465'}',{'technologyName': 'Batteries in Stationary Applications','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '2'specialisation': '0.0698'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': '1'specialisation': '0.0698'}',{'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0233'}',{'technologyName': 'Green Hydrogen','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0233'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0233'}]"
238,"[ {'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0046'}',{'technologyName': 'Battery Charger For Vehicle','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0046'}]"
239,"[ {'technologyName': 'Fuel Cells in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0014'}',{'technologyName': 'Green Hydrogen','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': '1'specialisation': '0.0014'}',{'technologyName': 'Green-Blue Hydrogen Production','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': '2'specialisation': '0.0081'}',{'technologyName': 'Green-Blue Methanol Production','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0014'}',{'technologyName': 'Batteries in Mobility','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0014'}',{'technologyName': 'Energy Storage Devices (Mechanical, Water, Heat, Pressure)','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': ''specialisation': '0.0041'}',{'technologyName': 'Fuel Cell Manufacturing','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': ''specialisation': '0.0041'}',{'technologyName': 'Fuel Cell Stationary Power Systems','technologyCode': '','totalPatentsInTechnology': '1','worldClassPatentsInTechnology': ''specialisation': '0.0014'}',{'technologyName': 'Hydrogen Electrolyzer, Electrolysis, Electrochemical H2 Pump','technologyCode': '','totalPatentsInTechnology': '6','worldClassPatentsInTechnology': ''specialisation': '0.0081'}',{'technologyName': 'Hydrogen Generation and Storage','technologyCode': '','totalPatentsInTechnology': '16','worldClassPatentsInTechnology': '2'specialisation': '0.0216'}',{'technologyName': 'Hydrogen Piping, Pipelining, H2 LNG separation','technologyCode': '','totalPatentsInTechnology': '3','worldClassPatentsInTechnology': ''specialisation': '0.0041'}]"
